賃料,占有面積
7.0,20.61
7.4,16.34
7.4,16.34
7.5,17.11
7.6,18.26
7.3,15.27
7.4,21.9
7.7,18.45
7.3,15.42
7.8,18.27
7.8,18.27
7.4,15.42
7.7,19.3
7.8,20.02
8.4,22.08
8.2,21.47
8.5,27.3
8.5,27.3
8.2,25.14
8.2,25.14
8.2,25.14
8.3,20.0
8.1,25.23
8.1,25.23
8.3,20.2
8.3,20.2
8.6,20.22
8.6,20.65
8.6,20.65
8.7,20.12
8.7,20.12
9.0,28.15
9.0,28.15
8.6,25.42
8.6,25.1
9.0,20.0
9.0,20.0
8.65,25.12
8.3,25.87
8.7,25.42
9.1,24.55
9.1,24.55
9.0,22.19
9.0,22.19
8.7,18.76
8.7,18.76
8.8,25.42
9.2,27.17
9.2,27.17
9.2,30.02
11.0,25.46
11.3,22.2
11.1,23.47
11.1,23.47
11.6,23.06
11.6,23.06
11.4,27.16
11.8,20.0
11.4,25.16
12.0,30.57
12.0,30.57
11.8,26.4
11.8,26.4
12.2,20.46
11.9,27.04
11.9,25.13
12.0,22.05
12.7,26.97
12.7,26.97
12.4,25.59
12.2,23.67
12.2,23.67
12.3,28.8
12.5,26.13
12.5,29.85
12.5,29.85
12.4,25.69
12.4,25.69
12.5,25.4
11.85,25.69
11.85,25.69
11.85,25.69
12.9,29.6
13.9,28.48
13.9,28.48
13.0,25.64
14.2,29.2
13.4,41.69
13.4,41.69
13.5,25.16
13.9,31.24
14.7,23.63
14.7,23.63
14.0,31.24
13.8,30.13
14.2,28.87
14.5,25.09
14.5,25.09
14.3,25.51
14.3,25.51
15.4,37.63
16.3,31.17
16.5,33.42
16.5,33.42
17.5,28.86
17.5,28.86
17.5,28.86
17.0,30.02
17.5,28.86
16.6,31.62
16.6,31.62
17.2,37.17
16.6,30.24
16.6,30.0
16.8,29.13
18.4,30.5
17.9,41.89
17.9,41.89
22.6,34.2
22.6,34.2
24.0,33.16
29.5,41.34
30.0,43.08
